Monat,arbeitslose_total,kurzarbeit_total,kurzarbeit_abgerechnet,kurzarbeit_genehmigt
Jan.04,168163,9464,9464,
Feb.04,165979,9981,9981,
Mar.04,160849,10196,10196,
Apr.04,155061,7020,7020,
May.04,148816,5273,5273,
Jun.04,144103,4423,4423,
Jul.04,143125,2037,2037,
Aug.04,145923,1776,1776,
Sep.04,146341,2786,2786,
Oct.04,147911,3272,3272,
Nov.04,152409,3812,3812,
Dec.04,158416,3366,3366,
Jan.05,162032,4831,4831,
Feb.05,160451,5296,5296,
Mar.05,155681,5691,5691,
Apr.05,150671,3955,3955,
May.05,145370,3165,3165,
Jun.05,140661,3101,3101,
Jul.05,139902,1813,1813,
Aug.05,142359,2075,2075,
Sep.05,142728,2050,2050,
Oct.05,144066,2452,2452,
Nov.05,146762,2852,2852,
Dec.05,151764,1917,1917,
Jan.06,154204,2778,2778,
Feb.06,150099,2712,2712,
Mar.06,143249,2330,2330,
Apr.06,136360,1626,1626,
May.06,129486,1136,1136,
Jun.06,122837,1107,1107,
Jul.06,121725,549,549,
Aug.06,123074,527,527,
Sep.06,121876,792,792,
Oct.06,122765,560,560,
Nov.06,124133,638,638,
Dec.06,128580,395,395,
Jan.07,131057,1148,1148,
Feb.07,126395,1564,1564,
Mar.07,117915,1545,1545,
Apr.07,112829,617,617,
May.07,106200,1461,1461,
Jun.07,99781,458,458,
Jul.07,99779,220,220,
Aug.07,100757,354,354,
Sep.07,99681,346,346,
Oct.07,102039,528,528,
Nov.07,104820,304,304,
Dec.07,109012,336,336,
Jan.08,111877,465,465,
Feb.08,108457,1003,1003,
Mar.08,103777,1127,1127,
Apr.08,100880,1490,1490,
May.08,95166,1468,1468,
Jun.08,91477,1413,1413,
Jul.08,92163,807,807,
Aug.08,94039,704,704,
Sep.08,95980,1007,1007,
Oct.08,100471,1634,1634,
Nov.08,107652,4182,4182,
Dec.08,118762,9710,9710,
Jan.09,128430,25529,25529,
Feb.09,132402,45532,45532,
