canton;compc_title;BFS_canton;lockdown_index;home_office_index;home_office_index_unadjusted;weights_ct
Zürich;ZH;1;0.2858;0.6304;0.4785;772627
Bern;BE;2;0.2996;0.5458;0.3782;471785
Luzern;LU;3;0.3211;0.5187;0.3581;181700
Uri;UR;4;0.3653;0.3997;0.2722;12041
Schwyz;SZ;5;0.3193;0.5278;0.3750;61554
Obwalden;OW;6;0.3871;0.4388;0.3290;15516
Nidwalden;NW;7;0.3405;0.4296;0.3178;19918
Glarus;GL;8;0.2961;0.4527;0.2654;16565
Zug;ZG;9;0.2765;0.6397;0.5389;84391
Freiburg;FR;10;0.3363;0.4832;0.3209;108500
Solothurn;SO;11;0.3317;0.4827;0.3221;102350
Basel-Stadt;BS;12;0.2862;0.6657;0.4919;117643
Basel-Landschaft;BL;13;0.3069;0.5557;0.3730;87256
Schaffhausen;SH;14;0.3009;0.5655;0.3839;31237
Appenzell A. Rh.;AR;15;0.3228;0.5195;0.3348;19266
Appenzell I. Rh.;AI;16;0.3807;0.2692;0.1410;6131
St. Gallen;SG;17;0.3253;0.5138;0.3630;223614
Graubünden;GR;18;0.3138;0.4956;0.3171;89346
Aargau;AG;19;0.3151;0.5201;0.3508;252787
Thurgau;TG;20;0.3272;0.4684;0.3016;95107
Tessin;TI;21;0.3055;0.5763;0.3973;133109
Waadt;VD;22;0.2905;0.6005;0.4164;344904
Wallis;VS;23;0.3465;0.4658;0.2662;127263
Neuenburg;NE;24;0.2959;0.5169;0.3534;70003
Genf;GE;25;0.2758;0.6530;0.4695;200705
Jura;JU;26;0.2734;0.4998;0.2886;26489
