noga2008_seco;noga2008_seco_title;lockdown_index;home_office_index;home_office_index_unadjusted;d_pct_unempl_mar19_mar20;weights
A 01-03;Land- und Forstwirtschaft, Fischerei;0.1412;0.1281;0.1281;12.7;112084
B 05-09;Bergbau, Steine und Erden;0.4747;0.1657;0.1657;53.0;2751
C 10-12;Nahrungsmittel, Getränke, Tabak;0.3910;0.2323;0.2323;10.3;63937
C 13-14;Textilien und Bekleidung;0.4234;0.2213;0.2213;12.2;9737
C 15;Leder, Lederwaren und Schuhe;0.4438;0.1716;0.1716;-1.9;801
C 16;Holz-, Flecht-, Korb- und Korkwaren;0.7094;0.1102;0.1102;49.1;26640
C 17-18;Papier- und Druckgewerbe;0.2731;0.3673;0.3673;5.3;20024
C 19-21;Chemische Industrie, Mineralölverarbeitung;0.2844;0.4161;0.4161;10.7;50883
C 22;Gummi- und Kunststoffwaren;0.3806;0.2135;0.2135;26.5;16974
C 23;Glas, Keramik, Zementwaren;0.4344;0.2398;0.2398;-1.3;14746
C 24-25;Metallerzeugung, Metallerzeugnisse;0.4005;0.2136;0.2136;37.2;74237
C 26-27;Elektrotechnik, Elektronik, Uhren, Optik;0.2866;0.4108;0.4108;33.2;102841
C 28;Maschinenbau;0.3428;0.3805;0.3805;34.1;65404
C 29-30;Fahrzeugbau;0.3528;0.2922;0.2922;18.3;15000
C 31-33;"Möbel; Reparatur von Maschinen";0.4470;0.2801;0.2801;15.9;42599
D 35;Energieversorgung;0.3748;0.4487;0.4487;13.4;23307
E 36-39;"Recycling; Wasserversorgung";0.3580;0.2322;0.2322;4.5;13478
F 41-43;Baugewerbe;0.5641;0.1625;0.1625;22.7;268101
G 45;Autohandel und -reparatur*;0.0827;0.8595;0.2663;20.6;60273
G 46;Grosshandel*;0.2421;0.6689;0.5975;8.3;181441
G 47;Detailhandel*;0.3686;0.3997;0.2358;12.0;207652
H 49-53;Verkehr und Transport;0.3605;0.4944;0.4018;24.4;188255
I 55-56;Gastgewerbe;0.6014;0.1081;0.1081;49.3;161078
J 58-63;Information und Kommunikation;0.2255;0.7713;0.7713;14.8;141504
K 64-66;Finanz- und Versicherungsdienstleistungen*;0.1422;0.8737;0.6706;12.6;207580
L 68;Grundstücks- und Wohnungswesen;0.3098;0.5158;0.5158;20.7;38647
M 69-75;Freiberufl., wissensch. u. techn. Dienstleistungen;0.2811;0.6781;0.6781;20.8;349089
N 77-82;Sonstige wirtschaftliche Dienstleistungen;0.3540;0.2762;0.2762;22.0;140245
O 84;Öffentl. Verwaltung, Sozialversicherungen*;0.0000;1.0000;0.4688;23.5;167460
P 85;Erziehung und Unterricht;0.5641;0.6744;0.6744;27.3;247506
Q 86-88;Gesundheits- und Sozialwesen*;0.0000;1.0000;0.1987;12.6;469426
R 90-93;Kunst, Unterhaltung und Erholung;0.4956;0.4449;0.4449;28.1;57823
S 94-96;Sonstige Dienstleistungen;0.5344;0.4599;0.4599;19.1;106093
T 97-98;Private Haushalte mit Hauspersonal;0.4214;0.1778;0.1778;1.6;29927
