noga2008_kza;noga2008_kza_title;genehmigte_KZA;lockdown_index_3;weights
A 01-03;Land- und Forstwirtschaft, Fischerei;5.20;0.11;112084
B 05-09;Bergbau, Steine und Erden;27.18;0.46;2751
C 10-12;Nahrungsmittel, Getränke, Tabak;43.91;0.38;63937
C 13-14;Textilien und Bekleidung;76.67;0.42;9737
C 15;Leder, Lederwaren und Schuhe;68.73;0.44;801
C 16;Holz-, Flecht-, Korb- und Korkwaren;44.26;0.71;26640
C 17-18;Papier- und Druckgewerbe;51.22;0.27;20024
C 19-21;Chemische Industrie, Mineralölverarbeitung;14.18;0.28;50883
C 22;Gummi- und Kunststoffwaren;43.84;0.38;16974
C 23;Glas, Keramik, Zementwaren;42.04;0.43;14746
C 24-25;Metallerzeugung, Metallerzeugnisse;51.51;0.40;74237
C 26-27;Elektrotechnik, Elektronik, Uhren, Optik;50.61;0.29;102841
C 28;Maschinenbau;50.17;0.34;65404
C 29-30;Fahrzeugbau;36.63;0.35;15000
C 31-33;"Möbel; Reparatur von Maschinen";55.98;0.45;42599
D 35;Energieversorgung;9.15;0.30;23307
E 36-39;"Recycling; Wasserversorgung";34.22;0.25;13478
F 41-43;Baugewerbe;50.71;0.56;268101
G 45-47;"Handel; Reparatur- und Autogewerbe";48.22;0.28;449366
H 49-53;Verkehr und Transport;40.31;0.28;188255
I 55-56;Gastgewerbe;75.58;0.60;161078
J 58-63;Information und Kommunikation;26.91;0.22;141504
K 64-66;Finanz- und Versicherungsdienstleistungen;7.69;0.12;207580
L 68;Grundstücks- und Wohnungswesen;21.42;0.30;38647
M 69-75;Freiberufliche, technische und wissenschaftliche DL;44.54;0.27;349089
N 77-82;Sonstige wirtschaftliche Dienstleistungen;38.82;0.32;140245
O 84;Öffentl. Verwaltung, Sozialversicherungen;1.01;0.00;167460
P 85;Erziehung und Unterricht;13.33;0.15;247506
Q 86-88;Gesundheits- und Sozialwesen;23.06;0.00;469426
R 90-93;Kunst, Unterhaltung und Erholung;59.95;0.41;57823
S 94-96;Sonstige Dienstleistungen;30.31;0.53;106093
