canton,d_unemp_apr,lockdown_index,unemp_apr19
Zürich,45.5,.28578225,18286
Bern,43.799999,.299586,10092
Luzern,37.900002,.32105628,3898
Uri,72.300003,.36533064,213
Schwyz,42,.31925145,998
Obwalden,95.400002,.38713199,152
Nidwalden,119.5,.34054449,185
Glarus,55.599998,.29610151,311
Zug,33.099998,.27654445,1341
Freiburg,43.599998,.33634117,4151
Solothurn,56.900002,.33166346,2744
Basel-Stadt,25.9,.28622073,3156
Basel-Landschaft,37.299999,.30691007,2873
Schaffhausen,24,.3009007,1252
Appenzell A. Rh.,35.5,.32277891,493
Appenzell I. Rh.,11.8,.38069451,102
St. Gallen,44.200001,.32525444,5190
Graubünden,119.7,.31378335,1717
Aargau,39.5,.31505179,9225
Thurgau,44.900002,.32718658,2811
Tessin,50.299999,.30554336,4586
Waadt,44.700001,.290474,14108
Wallis,63.099998,.34654897,4881
Neuenburg,29.9,.29594988,3246
Genf,22.299999,.27583578,10129
Jura,36.799999,.27338308,1158
