noga2008_seco,noga2008_seco_title,rel_d_unemp_apr20_mar20,lockdown_index,unemp_abs_apr2020
01-03,"Land- und Forstwirtschaft, Fischerei",14.671748,.14116268,1149
05-09,"Bergbau, Steine und Erden",-10.021002,.47473031,97
10-12,"Nahrungsmittel, Getränke, Tabak",16.288931,.39100286,3324
13-14,Textilien und Bekleidung,11.544134,.4234077,406
15,"Leder, Lederwaren und Schuhe",5.7651992,.44377342,59
16,"Holz-, Flecht-, Korb- und Korkwaren",27.027891,.70937926,1287
17-18,Papier- und Druckgewerbe,11.457541,.27314219,929
19-21,"Chemische Industrie, Mineralölverarbeitung",11.248503,.28444412,1561
22,Gummi- und Kunststoffwaren,10.715915,.38059938,977
23,"Glas, Keramik, Zementwaren",16.029621,.43441683,631
24-25,"Metallerzeugung, Metallerzeugnisse",13.262937,.40052626,3480
26-27,"Elektrotechnik, Elektronik, Uhren, Optik",11.868171,.28663132,4143
28,Maschinenbau,15.133646,.34275925,1824
29-30,Fahrzeugbau,13.680483,.35277998,478
31-33,Möbel; Reparatur von Maschinen,14.562523,.44703954,1507
35,Energieversorgung,25.308886,.3748298,393
36-39,Recycling; Wasserversorgung,14.063172,.35797104,452
41-43,Baugewerbe,25.391584,.56407559,17457
45,Autohandel und -reparatur,19.366001,.08265283,2439
46,Grosshandel,14.445095,.2420751,7466
47,Detailhandel,17.361547,.36861008,10310
49-53,Verkehr und Transport,16.53826,.36047649,6965
55-56,Gastgewerbe,28.423525,.60136235,18419
58-63,Information und Kommunikation,13.821651,.2254761,4884
64-66,Finanz- und Versicherungsdienstleistungen,13.08307,.14220303,7155
68,Grundstücks- und Wohnungswesen,14.908114,.3098346,1498
69-75,"Freiberufliche, wissenschaftliche u. techn. Dienstleistungen",15.846712,.2811192,11368
77-82,Sonstige wirtschaftliche Dienstleistungen,17.552427,.35400692,9645
84,"Öffentl. Verwaltung, Sozialversicherungen",14.931547,0,3536
85,Erziehung und Unterricht,17.48292,.56405193,4700
86-88,Gesundheits- und Sozialwesen,13.418658,0,12236
90-93,"Kunst, Unterhaltung und Erholung",16.902422,.49563527,2484
94-96,Sonstige Dienstleistungen,9.6531477,.53436118,3731
97-98,Private Haushalte mit Hauspersonal,12.286659,.42136696,1255
