noga2008_seco,noga2008_seco_title,rel_d_unemp_mar20_feb20,lockdown_index,unemp_abs_mar2020
01-03,"Land- und Forstwirtschaft, Fischerei",13.243828,.14116268,1113
05-09,"Bergbau, Steine und Erden",23.072187,.47473031,101
10-12,"Nahrungsmittel, Getränke, Tabak",12.546329,.39100286,2957
13-14,Textilien und Bekleidung,11.175644,.4234077,367
15,"Leder, Lederwaren und Schuhe",-5.6980057,.44377342,53
16,"Holz-, Flecht-, Korb- und Korkwaren",32.423615,.70937926,1120
17-18,Papier- und Druckgewerbe,11.116884,.27314219,842
19-21,"Chemische Industrie, Mineralölverarbeitung",3.6277683,.28444412,1437
22,Gummi- und Kunststoffwaren,18.107422,.38059938,903
23,"Glas, Keramik, Zementwaren",13.140996,.43441683,594
24-25,"Metallerzeugung, Metallerzeugnisse",11.022804,.40052626,3236
26-27,"Elektrotechnik, Elektronik, Uhren, Optik",11.653871,.28663132,3738
28,Maschinenbau,10.888464,.34275925,1632
29-30,Fahrzeugbau,18.812784,.35277998,434
31-33,Möbel; Reparatur von Maschinen,11.525831,.44703954,1365
35,Energieversorgung,14.95888,.3748298,348
36-39,Recycling; Wasserversorgung,6.2714434,.35797104,421
41-43,Baugewerbe,26.362535,.56407559,16703
45,Autohandel und -reparatur,15.588701,.08265283,2110
46,Grosshandel,13.951023,.2420751,6658
47,Detailhandel,17.959908,.36861008,9010
49-53,Verkehr und Transport,22.51586,.36047649,5936
55-56,Gastgewerbe,51.312061,.60136235,14032
58-63,Information und Kommunikation,16.174326,.2254761,4300
64-66,Finanz- und Versicherungsdienstleistungen,13.754814,.14220303,6380
68,Grundstücks- und Wohnungswesen,20.116219,.3098346,1332
69-75,"Freiberufliche, wissenschaftliche u. techn. Dienstleistungen",20.011061,.2811192,9983
77-82,Sonstige wirtschaftliche Dienstleistungen,21.953133,.35400692,8752
84,"Öffentl. Verwaltung, Sozialversicherungen",19.192598,0,3111
85,Erziehung und Unterricht,28.396814,.56405193,4097
86-88,Gesundheits- und Sozialwesen,11.826202,0,10978
90-93,"Kunst, Unterhaltung und Erholung",33.93454,.49563527,2195
94-96,Sonstige Dienstleistungen,17.841934,.53436118,3383
97-98,Private Haushalte mit Hauspersonal,10.197453,.42136696,1162
